Data Point,Voltage,SOC
233,4.053,99.57666382
234,4.053,99.57484693
235,4.053,99.57303003
236,4.053,99.57121314
237,4.053,99.56939625
238,4.053,99.56757935
239,4.053,99.56576246
240,4.053,99.56394557
241,4.053,99.56212867
242,4.053,99.56031178
243,4.053,99.55849489
244,4.053,99.55667799
245,4.053,99.5548611
246,4.053,99.55304421
247,4.053,99.55122731
248,4.053,99.54941042
249,4.053,99.54759352
250,4.053,99.54577663
251,4.053,99.54395974
252,4.053,99.54214284
253,4.053,99.54032595
254,4.053,99.53850906
255,4.053,99.53669216
256,4.053,99.53487527
257,4.053,99.53305838
258,4.053,99.53124148
259,4.053,99.52942459
260,4.053,99.5276077
261,4.053,99.5257908
262,4.053,99.52397391
263,4.053,99.52215702
264,4.053,99.52034012
265,4.053,99.51852323
266,4.053,99.51670634
267,4.053,99.51488944
268,4.053,99.51307255
269,4.053,99.51125566
270,4.053,99.50943876
271,4.053,99.50762187
272,4.053,99.50580497
273,4.053,99.50398808
274,4.053,99.50217119
275,4.053,99.50035429
276,4.053,99.4985374
277,4.053,99.49672051
278,4.053,99.49490361
279,4.053,99.49308672
280,4.053,99.49126983
281,4.053,99.48945293
282,4.053,99.48763604
283,4.053,99.48581915
284,4.053,99.48400225
285,4.053,99.48218536
286,4.053,99.48036847
287,4.053,99.47855157
288,4.053,99.47673468
289,4.053,99.47491779
290,4.053,99.47310089
291,4.053,99.471284
292,4.053,99.46946711
293,4.053,99.46765021
294,4.053,99.46583332
295,4.053,99.46401642
296,4.053,99.46219953
297,4.053,99.46038264
298,4.053,99.45856574
299,4.053,99.45674885
300,4.053,99.45493196
301,4.053,99.45311506
302,4.053,99.45129817
303,4.053,99.44948128
304,4.053,99.44766438
305,4.053,99.44584749
306,4.053,99.4440306
307,4.053,99.4422137
308,4.053,99.44039681
309,4.053,99.43857992
310,4.053,99.43676302
311,4.053,99.43494613
312,4.053,99.43312924
313,4.053,99.43131234
314,4.053,99.42949545
315,4.053,99.42767856
316,4.053,99.42586166
317,4.053,99.42404477
318,4.053,99.42222787
319,4.053,99.42041098
320,4.053,99.41859409
321,4.053,99.41677719
322,4.053,99.4149603
323,4.053,99.41314341
324,4.053,99.41132651
325,4.053,99.40950962
326,4.053,99.40769273
327,4.053,99.40587583
328,4.053,99.40405894
329,4.053,99.40224205
330,4.053,99.40042515
331,4.053,99.39860826
332,4.053,99.39679137
333,4.053,99.39497447
334,4.053,99.39315758
335,4.053,99.39134069
336,4.053,99.38952379
337,4.053,99.3877069
338,4.053,99.38589001
339,4.053,99.38407311
340,4.053,99.38225622
341,4.053,99.38043932
342,4.053,99.37862243
343,4.053,99.37680554
344,4.053,99.37498864
345,4.053,99.37317175
346,4.053,99.37135486
347,4.053,99.36953796
348,4.053,99.36772107
349,4.053,99.36590418
350,4.053,99.36408728
351,4.053,99.36227039
352,4.053,99.3604535
353,4.053,99.3586366
354,4.053,99.35681971
355,4.053,99.35500282
356,4.053,99.35318592
357,4.053,99.35136903
358,4.053,99.34955214
359,4.053,99.34773524
360,4.053,99.34591835
361,4.053,99.34410146
362,4.053,99.34228456
363,4.053,99.34046767
364,4.053,99.33865077
365,4.053,99.33683388
366,4.053,99.33501699
367,4.053,99.33320009
368,4.053,99.3313832
369,4.053,99.32956631
370,4.053,99.32774941
371,4.053,99.32593252
372,4.053,99.32411563
373,4.053,99.32229873
374,4.053,99.32048184
375,4.053,99.31866495
376,4.053,99.31684805
377,4.053,99.31503116
378,4.053,99.31321427
379,4.053,99.31139737
380,4.053,99.30958048
381,4.053,99.30776359
382,4.053,99.30594669
383,4.053,99.3041298
384,4.052,99.30231291
385,4.053,99.30049601
386,4.053,99.29867912
387,4.052,99.29686222
388,4.053,99.29504533
389,4.052,99.29322844
390,4.052,99.29141154
391,4.052,99.28959465
392,4.053,99.28777776
393,4.052,99.28596086
394,4.052,99.28414397
395,4.052,99.28232708
396,4.052,99.28051018
397,4.052,99.27869329
398,4.052,99.2768764
399,4.052,99.2750595
400,4.052,99.27324261
401,4.052,99.27142572
402,4.052,99.26960882
403,4.052,99.26779193
404,4.052,99.26597504
405,4.052,99.26415814
406,4.052,99.26234125
407,4.052,99.26052436
408,4.052,99.25870746
409,4.052,99.25689057
410,4.052,99.25507368
411,4.052,99.25325678
412,4.052,99.25143989
413,4.052,99.24962299
414,4.052,99.2478061
415,4.052,99.24598921
416,4.052,99.24417231
417,4.052,99.24235542
418,4.052,99.24053853
419,4.052,99.23872163
420,4.052,99.23690474
421,4.052,99.23508785
422,4.052,99.23327095
423,4.052,99.23145406
424,4.052,99.22963717
425,4.052,99.22782027
426,4.052,99.22600338
427,4.052,99.22418649
428,4.052,99.22236959
429,4.052,99.2205527
430,4.052,99.21873581
431,4.052,99.21691891
432,4.052,99.21510202
433,4.052,99.21328513
434,4.052,99.21146823
435,4.052,99.20965134
436,4.052,99.20783444
437,4.052,99.20601755
438,4.052,99.20420066
439,4.052,99.20238376
440,4.052,99.20056687
441,4.052,99.19874998
442,4.052,99.19693308
443,4.052,99.19511619
444,4.051,99.1932993
445,4.051,99.1914824
